date,accountCode,accountName,accountType,accountCategory,amount,paymentsOnly
2025-01-31,51200,Chemotherapy medication (Purchase),DIRECTCOSTS,Expense,202393.5,TRUE
2025-01-31,,Foreign Currency Gains and Losses,,Expense,57.99,TRUE
2025-01-31,61050,Charges - Bank & TT,EXPENSE,Expense,181.91,TRUE
2025-01-31,61051,Charges - NETS,EXPENSE,Expense,93,TRUE
2025-01-31,61052,Charges - Credit Card,EXPENSE,Expense,4453.81,TRUE
2025-01-31,61053,Admin Fee - Hospital Charges,EXPENSE,Expense,111.79,TRUE
2025-01-31,61056,Charges - Invoice Financing,EXPENSE,Expense,297.03,TRUE
2025-01-31,61200,Charges - Wise,EXPENSE,Expense,69.92,TRUE
2025-01-31,61300,Subscriptions,EXPENSE,Expense,3438.2,TRUE
2025-01-31,61400,Insurance Expenses,EXPENSE,Expense,10570.06,TRUE
2025-01-31,61500,Insurance Expenses (Directors),EXPENSE,Expense,466.88,TRUE
2025-01-31,61800,Professional Fees & Secretarial Fee,EXPENSE,Expense,1000,TRUE
2025-01-31,61880,Consultancy Fees,EXPENSE,Expense,21000,TRUE
2025-01-31,61890,Medical Audit Fee,EXPENSE,Expense,3593,TRUE
2025-01-31,61900,Doctor Fees,EXPENSE,Expense,90009.76,TRUE
2025-01-31,61950,Director Medical Fee,EXPENSE,Expense,1923.13,TRUE
2025-01-31,62000,Maintenance,EXPENSE,Expense,4929.2,TRUE
2025-01-31,62100,Clinic Expenses - Medical Supplies,EXPENSE,Expense,105.2,TRUE
2025-01-31,62305,Patient Welfare,EXPENSE,Expense,56.88,TRUE
2025-01-31,62310,Staff Welfare,EXPENSE,Expense,1043.45,TRUE
2025-01-31,62320,Salary - Doctors,EXPENSE,Expense,20000,TRUE
2025-01-31,62330,Salary - Singapore Staff,EXPENSE,Expense,53091.78,TRUE
2025-01-31,62331,Salary - Supporting Staff Allowance,EXPENSE,Expense,1300,TRUE
2025-01-31,62334,Salary - Overseas Staff,EXPENSE,Expense,4383.41,TRUE
2025-01-31,62340,Manpower - SDF & FWL,EXPENSE,Expense,132,TRUE
2025-01-31,62350,Manpower - CPF Employer,EXPENSE,Expense,20137,TRUE
2025-01-31,62355,Director Fee,EXPENSE,Expense,15000,TRUE
2025-01-31,62370,Rental Fee - Overseas,EXPENSE,Expense,938.37,TRUE
2025-01-31,62380,Director Remuneration,EXPENSE,Expense,21500,TRUE
2025-01-31,62400,Marketing Expenses,EXPENSE,Expense,3681.65,TRUE
2025-01-31,62410,Marketing Fees/ Referral Fees,EXPENSE,Expense,31105.25,TRUE
2025-01-31,62420,Manpower - With Holding Tax (IND),EXPENSE,Expense,230.28,TRUE
2025-01-31,62430,Marketing Advertising,EXPENSE,Expense,31475,TRUE
2025-01-31,62440,Manpower - BPJS - TK & KS (IND),EXPENSE,Expense,207.58,TRUE
2025-01-31,62700,Rental Fee,EXPENSE,Expense,34275,TRUE
2025-01-31,62800,Telephone & Internet,EXPENSE,Expense,1026.99,TRUE
2025-01-31,62850,Cleaning Expenses,EXPENSE,Expense,30,TRUE
2025-01-31,62860,Laundry Expenses,EXPENSE,Expense,405,TRUE
2025-01-31,62870,Office Supplies,EXPENSE,Expense,14,TRUE
2025-01-31,62900,Transportation,EXPENSE,Expense,605.94,TRUE
2025-01-31,62910,Traveling Overseas,EXPENSE,Expense,7508.59,TRUE
2025-01-31,62930,Motor Vehicle Expenses,EXPENSE,Expense,6036.41,TRUE
