date,accountCode,accountName,accountType,accountCategory,amount,paymentsOnly
2025-05-31,51200,Chemotherapy medication (Purchase),DIRECTCOSTS,Expense,300495.36,TRUE
2025-05-31,51300,COS - Laboratory,DIRECTCOSTS,Expense,14296.14,TRUE
2025-05-31,51400,COS - Radiology,DIRECTCOSTS,Expense,27109.59,TRUE
2025-05-31,51600,COS - Consumable,DIRECTCOSTS,Expense,8661.82,TRUE
2025-05-31,51950,COS - Others,DIRECTCOSTS,Expense,820,TRUE
2025-05-31,55020,Medicine (Purchase),DIRECTCOSTS,Expense,22674.81,TRUE
2025-05-31,,Foreign Currency Gains and Losses,,Expense,383.53,TRUE
2025-05-31,61050,Charges - Bank & TT,EXPENSE,Expense,210.97,TRUE
2025-05-31,61051,Charges - NETS,EXPENSE,Expense,48,TRUE
2025-05-31,61052,Charges - Credit Card,EXPENSE,Expense,7795.17,TRUE
2025-05-31,61053,Admin Fee - Hospital Charges,EXPENSE,Expense,599.68,TRUE
2025-05-31,61054,Admin Fee - TPA & Insurance,EXPENSE,Expense,50,TRUE
2025-05-31,61056,Charges - Invoice Financing,EXPENSE,Expense,365.35,TRUE
2025-05-31,61200,Charges - Wise,EXPENSE,Expense,43.9,TRUE
2025-05-31,61300,Subscriptions,EXPENSE,Expense,72.27,TRUE
2025-05-31,61400,Insurance Expenses,EXPENSE,Expense,12821,TRUE
2025-05-31,61800,Professional Fees & Secretarial Fee,EXPENSE,Expense,5151.4,TRUE
2025-05-31,61860,Other Professional Fees,EXPENSE,Expense,27213.09,TRUE
2025-05-31,61880,Consultancy Fees,EXPENSE,Expense,21000,TRUE
2025-05-31,61890,Medical Audit Fee,EXPENSE,Expense,3593,TRUE
2025-05-31,61900,Doctor Fees,EXPENSE,Expense,86741.64,TRUE
2025-05-31,62000,Maintenance,EXPENSE,Expense,510,TRUE
2025-05-31,62100,Clinic Expenses - Medical Supplies,EXPENSE,Expense,239.63,TRUE
2025-05-31,62200,License Fees,EXPENSE,Expense,4050,TRUE
2025-05-31,62305,Patient Welfare,EXPENSE,Expense,126.22,TRUE
2025-05-31,62310,Staff Welfare,EXPENSE,Expense,76.02,TRUE
2025-05-31,62320,Salary - Doctors,EXPENSE,Expense,40000,TRUE
2025-05-31,62330,Salary - Singapore Staff,EXPENSE,Expense,54657,TRUE
2025-05-31,62331,Salary - Supporting Staff Allowance,EXPENSE,Expense,1300,TRUE
